cbryant@Telkom.com,cbryant,KqzPexKuMLs=
ahartman@Tata.com,ahartman,d3hrwXOJt3A=
yharring@Sprint.com,yharring,8THEVMpqw2g=
mgreene@Telecom.com,mgreene,efMdGKLYXSI=
aleonard@Chunghwa.com,aleonard,A1DfubUT1pQ=
jwhitake@cerist.com,jwhitake,ABN8Sl13al4=
lfuller@Frontier.com,lfuller,BRRkQN4kCSg=
lwheeler@CCS.com,lwheeler,JTAuXC7R9qo=
tpatrick@Zain.com,tpatrick,VvcIsGzvKG8=
mmeyers@Vodafone.com,mmeyers,znOID2+bbMw=
amelton@MTN.com,amelton,wEWWK6w7Oe0=
lperson@SEEDnet.com,lperson,gUWPl/bBrKk=
rmullen@ATT.com,rmullen,x6EizEfm9yA=
jsavage@NII.com,jsavage,l7pwzcy3Jtk=
lmaynard@Orstom.com,lmaynard,oY04fUmeJhE=
smarin@Belgacom.com,smarin,HBV+UiDfSng=
dchan@MTN.com,dchan,TXJMZiNtbf0=
agarcia@TM.com,agarcia,TnYxQ0bET9E=
nstokes@NordNet.com,nstokes,6tBvxcgifdo=
hshepher@Telecom.com,hshepher,s+z9QOReqXc=
ashort@Unicom.com,ashort,6bYY+DwSpIA=
eandrews@KDDI.com,eandrews,zPBQ39hOoq4=
lmontgom@Vivendi.com,lmontgom,9g7j913KsDU=
sorozco@GlasNET.com,sorozco,iQeP3UALXHE=
lodonnel@EUnet.com,lodonnel,enpy+nnExZg=
dhaynes@AlgoNet.com,dhaynes,5oC64Bv1E+c=
spaul@Ooredoo.com,spaul,phy4gWtK02o=
psoto@Orange.com,psoto,ezWy+6ojZhw=
lschroed@DaxNet.com,lschroed,aY0HxHiou2k=
rbaxter@Turkcell.com,rbaxter,9/ahM/2srVg=
snovak@NTT.com,snovak,e40WRXoeiDk=
eglass@Telus.com,eglass,0Dj27amggO0=
rcastill@Orstom.com,rcastill,/5tFxIpM19g=
lfrye@NII.com,lfrye,hrsCRfTS6cs=
ecunning@MTN.com,ecunning,1Qm8hYodYvg=
jpotter@Airtel.com,jpotter,c7E5q2zDizs=
ltyler@BCE.com,ltyler,VsHWotXOYeo=
jharrell@TeleSystems.com,jharrell,TpC/UQOX0+U=
squintan@Millicom.com,squintan,MOOqzaL+OtA=
sbeasley@TelecomItalia.com,sbeasley,7nOCD5lfMYs=
schan@Tata.com,schan,xemguO1dsjc=
lshaffer@TeleSystems.com,lshaffer,ipiHga5SN4w=
mdurham@AlgoNet.com,mdurham,gPYHA4CgE4A=
dgarner@ATT.com,dgarner,nNCF+ghHt4I=
ofuller@DaxNet.com,ofuller,VdCWP2/6yrA=
bbrady@Telefonica.com,bbrady,77TGl1kwyjg=
tbradsha@Frontier.com,tbradsha,kMOpLMC01Ik=
dgarrett@Telkom.com,dgarrett,69qF9/2BK/4=
lmarsh@CCI.com,lmarsh,nkmRubjFEsA=
lhunt@MegaFon.com,lhunt,u3cchPP27io=
amccall@SingTel.com,amccall,cHYnozvdq8Q=
mhuffman@CUBENet.com,mhuffman,w5KuSSEgenQ=
cpeterse@SingTel.com,cpeterse,N/Imvb3YEZM=
jestrada@WorldNet.com,jestrada,gNkcAuY9lN0=
hhobbs@OpenWorld.com,hhobbs,pjzEn3Js5yw=
mchan@CCI.com,mchan,KvdqvPCx1bc=
efelix@NordNet.com,efelix,HOJVr37eGp0=
nbernal@TT.com,nbernal,pPOtr77U5pc=
lgreer@Airtel.com,lgreer,YrDMOr+dejc=
ireyna@ICom.com,ireyna,+WJR5PwvPVI=
fmontgom@AlgoNet.com,fmontgom,kHyl63GOYrA=
tvilla@Turkcell.com,tvilla,2zyL/EUks74=
wlin@Movil.com,wlin,fo/uPmeiqeE=
rgray@Orstom.com,rgray,3Jx3NLYL0i0=
tzamora@MTN.com,tzamora,SuGC4sOT1M8=
tfrancis@NII.com,tfrancis,iQXPehz6y+c=
jlindsey@EUnet.com,jlindsey,fCKWJmvMtTI=
janthony@KDDI.com,janthony,FlaFWp61kG0=
nholmes@Telenor.com,nholmes,4lRBn9wWnWU=
rmckinne@Rogers.com,rmckinne,wSFBVaqPPh4=
wstevens@KPN.com,wstevens,NX+pga7dJOI=
jarcher@Airtel.com,jarcher,LjPPR1kwHrw=
fmoran@Millicom.com,fmoran,BAvQvbEekgA=
bblair@Telecom.com,bblair,ubd38yjM1QE=
rpace@ICom.com,rpace,OaLZytNHf7I=
gthomas@LGUplus.com,gthomas,43RA50tCjyo=
rmclaugh@Airtel.com,rmclaugh,ZzXDbkHVMp8=
tswanson@CUBENet.com,tswanson,QEur/3eG9A4=
satkins@Chunghwa.com,satkins,+tFKe156Ccg=
hfrankli@Sprint.com,hfrankli,L0IB68fV3Mc=
cgilbert@Vivendi.com,cgilbert,eqQAugP/RjU=
dbrady@SingTel.com,dbrady,TSLQi++Aawc=
jshaw@LookData.com,jshaw,kZ6bXpD3PE4=
nsweeney@Relcom.com,nsweeney,7z9UDcIKxKk=
cjensen@Orstom.com,cjensen,TTGm947EAcY=
pfry@OpenWorld.com,pfry,E4nCDHMhNgY=
kfowler@Orange.com,kfowler,0cOJnS4O7jI=
aoneill@MTN.com,aoneill,Lupfkuv+XAY=
lmorriso@Belgacom.com,lmorriso,O/xklAJOMGw=
eblackbu@WorldNet.com,eblackbu,HwGhH/OdIpU=
rpalacio@MegaFon.com,rpalacio,qZxECmVy83o=
mesparza@Telecom.com,mesparza,QV5kMU09tjk=
aberry@LGUplus.com,aberry,c21otFmY3Gw=
mhawkins@OTE.com,mhawkins,7NXexvmF1LM=
dgutierr@OTE.com,dgutierr,ovNKSTEW+dA=
cmurray@LookData.com,cmurray,UjdED5qswas=
apeck@cerist.com,apeck,u/6Vg1U0O8o=
amathis@AlgoNet.com,amathis,meSuJdi4VlM=
lshelton@CCI.com,lshelton,HNjq93jnH1I=
bpace@Telkom.com,bpace,OZEyy7HjklI=
rmcdowel@Orange.com,rmcdowel,S9sIF6NyYtc=
dmueller@BCE.com,dmueller,kl1EI2FnHao=
nsanford@Orange.com,nsanford,EUxFCquhxe0=
mmeza@KPN.com,mmeza,5pxkltf7aMA=
srios@NetCom.com,srios,YGn6OVWDUQY=
ograves@Relcom.com,ograves,X1eyBJ4rBd8=
gdean@ICom.com,gdean,5ihz34ynJD4=
shubbard@UI.com,shubbard,xGu21DqZ7b8=
lgraves@TeleSystems.com,lgraves,d8bcAMmJnbc=
aguerrer@KPN.com,aguerrer,4zJJbv+LAW8=
sbryant@NTT.com,sbryant,JJ2VZsjK1Cw=
clester@VimpelCom.com,clester,5wFqD/9TrmE=
twebb@TT.com,twebb,w6G8+Ey8InM=
bjuarez@SingTel.com,bjuarez,5JquDxM50iA=
lmolina@Orange.com,lmolina,8rfpEItWkiU=
bchristi@Orstom.com,bchristi,O3oGRgyzK2M=
mreese@Unicom.com,mreese,y5AKNVUYQEs=
vroberso@OpenWorld.com,vroberso,ht3CQPbXHKY=
ewilliam@Etisalat.com,ewilliam,Rvek6GSAVwI=
dkhan@Telefonica.com,dkhan,rYsqhRA7Vg8=
bharmon@Etisalat.com,bharmon,dnE3FCpRXIs=
lsulliva@Vodafone.com,lsulliva,Pe5YOEk4XnU=
henglish@KDDI.com,henglish,Ldjenkmpjrs=
jtorres@TM.com,jtorres,2NwC8AEtGt4=
ecordova@OTE.com,ecordova,8UF0IjD4wTg=
acochran@BCE.com,acochran,yWO59Xt5Llo=
sbest@TeleSystems.com,sbest,bnVtL/koITc=
jdaniels@Swisscom.com,jdaniels,KvrICDEAeQg=
shunter@TelecomItalia.com,shunter,q72KKTFPIvw=
sdodson@GlasNET.com,sdodson,WaFohRXwifk=
kdaniels@Softbank.com,kdaniels,Pg26ia5zTKE=
lsaunder@Relcom.com,lsaunder,Cg8zGSuaqc8=
jxiong@Zain.com,jxiong,509F1s8QRNM=
adawson@LGUplus.com,adawson,7aZk0km+y4o=
rhurley@Telecom.com,rhurley,FXIZ0eQ6wsU=
mclement@Jio.com,mclement,zaZMphtQvIg=
ediaz@Airtel.com,ediaz,2piw5RWv2fs=
eahmed@ICom.com,eahmed,ZCZiGwEUmYg=
ehiggins@PTCL.com,ehiggins,NZI1L0sMNyc=
bcobb@Swisscom.com,bcobb,qdCdbfUBM60=
jhenders@BT.com,jhenders,lVawqQjhpsM=
bfaulkne@GlasNET.com,bfaulkne,/qRWobWsbu8=
cphillip@NTT.com,cphillip,oyoyA3m+5fo=
kfarmer@Telenor.com,kfarmer,gZmEQ0SFFhw=
jmcfarla@Millicom.com,jmcfarla,ue60urQ6G7Q=
ecasey@VimpelCom.com,ecasey,JyGeise4ACo=
rbauer@Oi.com,rbauer,ilVP3HS8+QE=
lrivera@Telstra.com,lrivera,UGPRFsch+s4=
rramos@OpenWorld.com,rramos,rzS8eWDCrJ4=
jleblanc@Telefonica.com,jleblanc,pZIuZIn7t40=
hguzman@Telecom.com,hguzman,uJk3WXPhnuk=
jfischer@BCE.com,jfischer,EDaa7Yox/c0=
acraig@Telecom.com,acraig,oBHW/Z7c9Yw=
aherring@NTT.com,aherring,JWjps+MQFB8=
bhorne@DaxNet.com,bhorne,hCPRY8Wp4+o=
kcrane@Millicom.com,kcrane,s29mSk8+GIw=
ldixon@UI.com,ldixon,j8m3ZJmQyhQ=
otapia@DaxNet.com,otapia,wDM3uUC+HS0=
ocastane@CUBENet.com,ocastane,BsNhr6G03NM=
ablair@Safaricom.com,ablair,p19pwo6lG20=
lcaldwel@AIS.com,lcaldwel,PL9WcgG6REs=
sjackson@Oi.com,sjackson,5TtZbCnbsB4=
bjarvis@BCE.com,bjarvis,ZhzFQfkgHQ8=
idurham@Frontier.com,idurham,RzRnbEomZwM=
rvillarr@Unicom.com,rvillarr,/jVadJWT8Vg=
ebentley@NTT.com,ebentley,+PoQYjylZA4=
jgreer@CUBENet.com,jgreer,1ZdIitOug54=
fvu@Telefonica.com,fvu,dXZxkvBDLI8=
mstrong@Softbank.com,mstrong,rlBdNZceNWA=
kbass@Telenor.com,kbass,Y8dcklgrkEs=
aeaton@APICnet.com,aeaton,BktSdOSSyaA=
tlloyd@Airtel.com,tlloyd,TAHr4AuKHrI=
cgates@MaxComm.com,cgates,VqR2vN5yoEA=
lhill@Telstra.com,lhill,ZZZjPpoy06Y=
alawrenc@Orstom.com,alawrenc,bBkZ7Ra3hXE=
wbooth@Swisscom.com,wbooth,NmigfsdodC0=
dlane@OpenWorld.com,dlane,+gRfaEP0PBM=
lmejia@PTCL.com,lmejia,A/HJQQBl6Ys=
rblake@Telkom.com,rblake,BKbhdjKgPMU=
tmays@SEEDnet.com,tmays,CfrB51EG6HA=
ikim@Tata.com,ikim,N4fsufBAoIk=
rfrye@Sprint.com,rfrye,JSsApeZYBt0=
zyoung@GreenNet.com,zyoung,lkSltLFlZEY=
rsnyder@Swisscom.com,rsnyder,Gsowb0cfJqg=
slee@Ooredoo.com,slee,dyxF3eW7qdc=
pfrazier@Movil.com,pfrazier,9cebbTbo9Eg=
jbowen@MTN.com,jbowen,rqptD1MuWxM=
kmiddlet@UI.com,kmiddlet,L7EWtnT29M4=
ahines@SEEDnet.com,ahines,hQmIdzuPKS4=
smcdowel@Telus.com,smcdowel,5EdygHj9v4Y=
cwilliam@Softbank.com,cwilliam,tDsWDs7u3Mg=
lswanson@Millicom.com,lswanson,wfmfWAqgwjc=
dstanton@KPN.com,dstanton,uLiLqSi5FRA=
lgould@Telkom.com,lgould,lgqcgH2TkEk=
jbond@Telefonica.com,jbond,k+d1iXVuRGQ=
dsierra@APICnet.com,dsierra,OomG0bAG2Zs=
